ch1,ch2,tch1,tch2,f
4.96,0.857,344,-94,500
4.96,1.61,169,-27,1000
4.84,3.72,361,326,3000
4.74,4.48,302,296,5000
4.70,4.53,268,271,5500
4.70,4.55,330,329,6000
4.71,4.53,302,304,6500
4.70,4.52,350,353,7000
4.72,4.40,304,309,8000
4.76,4.14,339,346,10000
4.85,2.71,314,322,20000
4.90,1.52,317,322,40000
4.92,1.06,318,322,60000
4.92,0.805,319,322,80000
