ch1,ch2,tch1,tch2,f
4.97,4.88,446,500,1000
4.78,3.82,282,332,3000
4.69,2.76,255,299,5000
4.71,1.75,275,311,8000
4.76,1.31,97.3,299,10000
4.74,1.01,303,332,12000
4.81,0.736,308,332,15000
